"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"15:03:18,4620034","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\Server\StateRepository\ServiceName","SUCCESS","Type: REG_SZ, Length: 32, Data: StateRepository"
"15:03:18,4620316","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\Server\StateRepository\ExplicitPsmActivationType","NAME NOT FOUND","Length: 16"
"15:03:18,4620804","mspaint.exe","20252","RegOpenKey","HKLM\SOFTWARE\Microsoft\WindowsRuntime\Server\StateRepository\CustomAttributes","NAME NOT FOUND","Desired Access: Read"
"15:03:18,4640954","mspaint.exe","20252","RegOpenKey","\REGISTRY\WC\Silo45933c16-a2c3-cbb9-89d8-1a186d576ba6user_classes\Interface\{B94B62A2-4012-4B7E-A395-F21CC665FD12}","NAME NOT FOUND","Desired Access: Read"
"15:03:18,4641494","mspaint.exe","20252","RegOpenKey","HKCR\Interface\{B94B62A2-4012-4B7E-A395-F21CC665FD12}","REPARSE GLOBAL","Desired Access: Read"
"15:03:18,4642610","mspaint.exe","20252","RegOpenKey","HKCR\Interface\{b94b62a2-4012-4b7e-a395-f21cc665fd12}","SUCCESS","Desired Access: Read"
"15:03:18,4643810","mspaint.exe","20252","RegOpenKey","HKCU\Software\Classes\Interface\{B94B62A2-4012-4B7E-A395-F21CC665FD12}\ProxyStubClsid32","NAME NOT FOUND","Desired Access: Read"
"15:03:18,4644478","mspaint.exe","20252","RegOpenKey","HKCR\Interface\{b94b62a2-4012-4b7e-a395-f21cc665fd12}\ProxyStubClsid32","SUCCESS","Desired Access: Read"
"15:03:18,4645442","mspaint.exe","20252","RegOpenKey","HKCU\Software\Classes\Interface\{B94B62A2-4012-4B7E-A395-F21CC665FD12}\ProxyStubClsid32","NAME NOT FOUND","Desired Access: Maximum Allowed"
"15:03:18,4645731","mspaint.exe","20252","RegQueryValue","HKCR\Interface\{b94b62a2-4012-4b7e-a395-f21cc665fd12}\ProxyStubClsid32\(Default)","SUCCESS","Type: REG_SZ, Length: 78, Data: {c53e07ec-25f3-4093-aa39-fc67ea22e99d}"
"15:03:18,4654962","mspaint.exe","20252","RegOpenKey","\REGISTRY\WC\Silo45933c16-a2c3-cbb9-89d8-1a186d576ba6user_classes\Interface\{547539FD-5A6B-51CF-B4CD-3F4FA6005838}","NAME NOT FOUND","Desired Access: Read"
"15:03:18,4655577","mspaint.exe","20252","RegOpenKey","HKCR\Interface\{547539FD-5A6B-51CF-B4CD-3F4FA6005838}","REPARSE GLOBAL","Desired Access: Read"
"15:03:18,4656206","mspaint.exe","20252","RegOpenKey","HKCR\Interface\{547539fd-5a6b-51cf-b4cd-3f4fa6005838}","SUCCESS","Desired Access: Read"
"15:03:18,4657175","mspaint.exe","20252","RegOpenKey","HKCU\Software\Classes\Interface\{547539FD-5A6B-51CF-B4CD-3F4FA6005838}\ProxyStubClsid32","NAME NOT FOUND","Desired Access: Read"
"15:03:18,4657910","mspaint.exe","20252","RegOpenKey","HKCR\Interface\{547539fd-5a6b-51cf-b4cd-3f4fa6005838}\ProxyStubClsid32","SUCCESS","Desired Access: Read"
"15:03:18,4658841","mspaint.exe","20252","RegOpenKey","HKCU\Software\Classes\Interface\{547539FD-5A6B-51CF-B4CD-3F4FA6005838}\ProxyStubClsid32","NAME NOT FOUND","Desired Access: Maximum Allowed"
"15:03:18,4659246","mspaint.exe","20252","RegQueryValue","HKCR\Interface\{547539fd-5a6b-51cf-b4cd-3f4fa6005838}\ProxyStubClsid32\(Default)","SUCCESS","Type: REG_SZ, Length: 78, Data: {c53e07ec-25f3-4093-aa39-fc67ea22e99d}"
"15:03:18,4662980","mspaint.exe","20252","RegOpenKey","\REGISTRY\WC\Silo45933c16-a2c3-cbb9-89d8-1a186d576ba6user_classes\Interface\{D2AA7210-C0C4-44CB-8090-3FCD77FDF3D5}","NAME NOT FOUND","Desired Access: Read"
"15:03:18,4663464","mspaint.exe","20252","RegOpenKey","HKCR\Interface\{D2AA7210-C0C4-44CB-8090-3FCD77FDF3D5}","REPARSE GLOBAL","Desired Access: Read"
"15:03:18,4664046","mspaint.exe","20252","RegOpenKey","HKCR\Interface\{d2aa7210-c0c4-44cb-8090-3fcd77fdf3d5}","SUCCESS","Desired Access: Read"
"15:03:18,4664973","mspaint.exe","20252","RegOpenKey","HKCU\Software\Classes\Interface\{D2AA7210-C0C4-44CB-8090-3FCD77FDF3D5}\ProxyStubClsid32","NAME NOT FOUND","Desired Access: Read"
"15:03:18,4665524","mspaint.exe","20252","RegOpenKey","HKCR\Interface\{d2aa7210-c0c4-44cb-8090-3fcd77fdf3d5}\ProxyStubClsid32","SUCCESS","Desired Access: Read"
"15:03:18,4666446","mspaint.exe","20252","RegOpenKey","HKCU\Software\Classes\Interface\{D2AA7210-C0C4-44CB-8090-3FCD77FDF3D5}\ProxyStubClsid32","NAME NOT FOUND","Desired Access: Maximum Allowed"
"15:03:18,4666722","mspaint.exe","20252","RegQueryValue","HKCR\Interface\{d2aa7210-c0c4-44cb-8090-3fcd77fdf3d5}\ProxyStubClsid32\(Default)","SUCCESS","Type: REG_SZ, Length: 78, Data: {c53e07ec-25f3-4093-aa39-fc67ea22e99d}"
"15:03:18,4670951","mspaint.exe","20252","CreateFile","C:\Windows\System32\Windows.StateRepositoryClient.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:03:18,4672878","mspaint.exe","20252","CreateFile","C:\Windows\System32\Windows.StateRepositoryClient.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:03:18,4675674","mspaint.exe","20252","Load Image","C:\Windows\System32\Windows.StateRepositoryClient.dll","SUCCESS","Image Base: 0x7ffcacda0000, Image Size: 0x44000"
"15:03:18,4679049","mspaint.exe","20252","RegOpenKey","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Foundation.Collections.PropertySet","SUCCESS","Desired Access: Read"
"15:03:18,4679891","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Foundation.Collections.PropertySet\ActivationType","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"15:03:18,4680206","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Foundation.Collections.PropertySet\Server","NAME NOT FOUND","Length: 144"
"15:03:18,4680403","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Foundation.Collections.PropertySet\DllPath","SUCCESS","Type: REG_SZ, Length: 66, Data: C:\Windows\System32\WinTypes.dll"
"15:03:18,4680693","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Foundation.Collections.PropertySet\Threading","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"15:03:18,4680967","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Foundation.Collections.PropertySet\TrustLevel","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"15:03:18,4681558","mspaint.exe","20252","RegOpenKey","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Foundation.Collections.PropertySet\CustomAttributes","NAME NOT FOUND","Desired Access: Read"
"15:03:18,4681806","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Foundation.Collections.PropertySet\RemoteServer","NAME NOT FOUND","Length: 144"
"15:03:18,4681995","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Foundation.Collections.PropertySet\ActivateAsUser","NAME NOT FOUND","Length: 16"
"15:03:18,4682185","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Foundation.Collections.PropertySet\ActivateInSharedBroker","NAME NOT FOUND","Length: 16"
"15:03:18,4682371","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Foundation.Collections.PropertySet\ActivateInBrokerForMediumILContainer","NAME NOT FOUND","Length: 16"
"15:03:18,4682563","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Foundation.Collections.PropertySet\Permissions","NAME NOT FOUND","Length: 140"
"15:03:18,4682748","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Foundation.Collections.PropertySet\ActivateOnHostFlags","NAME NOT FOUND","Length: 16"
"15:03:18,4693060","mspaint.exe","20252","RegOpenKey","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Internal.StateRepository.AppExtension","SUCCESS","Desired Access: Read"
"15:03:18,4693827","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Internal.StateRepository.AppExtension\ActivationType","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"15:03:18,4694136","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Internal.StateRepository.AppExtension\Server","SUCCESS","Type: REG_SZ, Length: 32, Data: StateRepository"
"15:03:18,4694429","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Internal.StateRepository.AppExtension\DllPath","NAME NOT FOUND","Length: 144"
